Casos de teste e teste a lógica dos recursos de reserva;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
ID do caso de teste;Nome do caso de teste;Pré-condições;Número da etapa;Descrição da etapa;Resultado esperado;Ambiente;Status;Link para o relatório de bug;;;;;;;;;;;;;;;;;
t-1;"Verificar a lógica da reserva ao preencher os campos ""De"" e ""Para"".";"1. Acesse o Urban.Routes
2. Insira ""East 2nd Street, 601"" no campo ""De""
3. Insira ""1300 1st St"" no campo ""Para""
4. Escolha o modo ""Personal""
5. Escolha ""Compartilhamento de carro"" como tipo de transporte
6. Clique no botão ""Reservar""";1;Adicionar carteira de motorista;"Uma janela com o título ""O carro foi reservado"" surgirá no centro da tela. Nela, aparecem o ícone e endereço do carro, bem como o custo exato da corrida e o cronômetro que exibe o tempo de espera gratuito.";"Google Chrome
800x600";Aprovado;;;;;;;;;;;;;;;;;;
;;;2;Adicionar um método de pagamento;;;;;;;;;;;;;;;;;;;;;
;;;3;Clicar no botão reservar;;;;;;;;;;;;;;;;;;;;;
t-2;"Verificar a lógica da reserva excluindo os campos ""De"" e ""Para"".";"1. Acesse o Urban.Routes
2. Insira ""East 2nd Street, 601"" no campo ""De""
3. Insira ""1300 1st St"" no campo ""Para""
4. Escolha o modo ""Personal""
5. Escolha ""Compartilhamento de carro"" como tipo de transporte
6. Clique no botão ""Reservar""";1;Adicionar carteira de motorista;"Uma janela com o título ""O carro foi reservado"" surgirá no centro da tela. Nela, aparecem o ícone e endereço do carro, bem como o custo por minuto da corrida e o cronômetro que exibe o tempo de espera gratuito.";"Google Chrome
800x600";Reprovado;https://carolgonzaga.atlassian.net/browse/BR-35;;;;;;;;;;;;;;;;;
;;;2;Adicionar um método de pagamento;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;3;"Clicar no botão ""Reservar""";;;;;;;;;;;;;;;;;;;;;
;;;4;"Excluir os endereços ""De"" e ""Para""";;;;;;;;;;;;;;;;;;;;;
t-3;"Verificar a lógica da reserva ao clicar no botão ""Cancelar""";"1. Acesse o Urban.Routes
2. Insira ""East 2nd Street, 601"" no campo ""De""
3. Insira ""1300 1st St"" no campo ""Para""
4. Escolha o modo ""Personal""
5. Escolha ""Compartilhamento de carro"" como tipo de transporte
6. Clique no botão ""Reservar""";1;Adicionar carteira de motorista;"Inicialmente irá abrir a janela ""O carro foi reservado"" e após clicar no botão ""Cancelar"" abrirá a janela de confirmação, clique em ""Sim"" e a janela irá fechar, voltará para a tela anterior e a corrida será cancelada.";"Google Chrome
800x600";Bloqueado;https://carolgonzaga.atlassian.net/browse/BR-36;;;;;;;;;;;;;;;;;
;;;2;Adicionar um método de pagamento;;;;;;;;;;;;;;;;;;;;;
;;;3;"Clicar no botão ""Reservar""";;;;;;;;;;;;;;;;;;;;;
;;;4;"Clicar no botão ""Cancelar""";;;;;;;;;;;;;;;;;;;;;
;;;5;"Clicar no botão ""Sim""";;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
