ID,Título do caso de teste,Etapas do teste,Dados do teste (corpo da solicitação),Resultado esperado,Resultado real,Status,Link para o relatório de bug,,,,,
POST /api/v1/kits/:id/products,,,,,,,,,,,,
1,Enviar uma requisição POST para incluir um item dentro do kit,1. Envie uma solicitação POST para /api/v1/kits/:id/products com um ID de kit existente na URL e um ID de produto no corpo da solicitação.,"Path params: id=3
------------------------------------
{
 ""productsList"": [
 {
 ""id"": 1,
 ""quantity"": 2
 }
 ]
}",200 OK,200 OK,APROVADO,,,,,,
2,Enviar uma requisição POST para atualizar a quantidade de um item no kit,1. Envie uma solicitação POST para /api/v1/kits/:id/products com um ID de kit existente na URL e um ID de produto no corpo da solicitação.,"Path params: id=7
""quantity"" atual é 2.
-------------------------------------
{
 ""productsList"": [
 {
 ""id"": 1,
 ""quantity"": 1
 }
 ]
}","200 OK 
""quantity"" atualizado para 3","200 OK 
""quantity"" atualizado para 3",APROVADO,,,,,,
3,Enviar uma requisição POST com o parâmetro ID como String de letras,1. Envie uma solicitação POST para /api/v1/kits/:id/products com um ID de kit existente na URL e um ID de produto no corpo da solicitação.,"Path params: id=3
-----------------------------------------
{
 ""productsList"": [
 {
 ""id"": 3
 ""quantity"": 1
 }
 ]
}",400 Bad Request,500 Internal Server Error,REPROVADO,https://carolgonzaga.atlassian.net/browse/API-1,,,,,
4,Enviar uma requisição POST com o parâmetro ID como ZERO,1. Envie uma solicitação POST para /api/v1/kits/:id/products com um ID de kit existente na URL e um ID de produto no corpo da solicitação.,"Path params: id=3
-----------------------------------------
{
 ""productsList"": [
 {
 ""id"": 0,
 ""quantity"": 1
 }
 ]
}",400 Bad Request,404 not found,REPROVADO,https://carolgonzaga.atlassian.net/browse/API-2,,,,,
5,Enviar uma requisição POST com o parâmetro ID vazio,1. Envie uma solicitação POST para /api/v1/kits/:id/products com um ID de kit existente na URL e um ID de produto no corpo da solicitação.,"Path params: id=3
-----------------------------------------
{
 ""productsList"": [
 {
 ""id"": """",
 ""quantity"": 1
 }
 ]
}",400 Bad Request,500 Internal Server Error,REPROVADO,https://carolgonzaga.atlassian.net/browse/API-3,,,,,
6,Enviar uma requisição POST com o parâmetro ID com número negativo,1. Envie uma solicitação POST para /api/v1/kits/:id/products com um ID de kit existente na URL e um ID de produto no corpo da solicitação.,"Path params: id=3
-----------------------------------------
{
 ""productsList"": [
 {
 ""id"": -2,
 ""quantity"": 1
 }
 ]
}",400 Bad Request,200 OK,REPROVADO,https://carolgonzaga.atlassian.net/browse/API-4,,,,,
7,Enviar uma requisição POST para incluir mais de 30 itens em um kit,"1. Envie uma solicitação POST para /api/v1/kits/:id/products com um ID de kit existente na URL e um ID de produto no corpo da solicitação, após já ter incluído 30 itens no kit.","Path params: id=7
-----------------------------------------
{
 ""productsList"": [
 {
 ""id"": 31,
 ""quantity"": 1
 }
 ]
}",400 Bad Request,400 Bad Request,APROVADO,,,,,,
8,Enviar uma requisição POST sem passar o parâmetro ID,1. Envie uma solicitação POST para /api/v1/kits/:id/products com um ID de kit existente na URL e um ID de produto no corpo da solicitação.,"Path params: id=3
-----------------------------------------
{
 ""productsList"": [
 {
 ""quantity"": 1
 }
 ]
}",400 Bad Request,200 OK,REPROVADO,https://carolgonzaga.atlassian.net/browse/API-5,,,,,
9,Enviar uma requisição POST com o parâmetro ID como string de caracter especial,1. Envie uma solicitação POST para /api/v1/kits/:id/products com um ID de kit existente na URL e um ID de produto no corpo da solicitação.,"Path params: id=3
-----------------------------------------
{
 ""productsList"": [
 {
 ""id"": ""@@"",
 ""quantity"": 1
 }
 ]
}",400 Bad Request,500 Internal Server Error,REPROVADO,https://carolgonzaga.atlassian.net/browse/API-6,,,,,
